;Opp_Coach;Opp;annee;cluster_coach
0;J.B. Bickerstaff;CLE;2020;4.0
1;Lloyd Pierce;ATL;2020;1.0
2;Nick Nurse;TOR;2020;2.0
3;Mike Miller;NYK;2020;0.0
4;Mike Budenholzer;MIL;2020;3.0
5;Mike Malone;DEN;2020;3.0
6;Billy Donovan;OKC;2020;3.0
7;Rick Carlisle;DAL;2020;3.0
8;Taylor Jenkins;MEM;2020;3.0
9;Nate McMillan;IND;2020;3.0
10;Brett Brown;PHI;2020;2.0
11;Gregg Popovich;SAS;2020;3.0
12;Scott Brooks;WAS;2020;1.0
15;Dwane Casey;DET;2020;3.0
18;Steve Kerr;GSW;2020;4.0
20;Monty Williams;PHO;2020;1.0
23;Frank Vogel;LAL;2020;3.0
24;Mike D'Antoni;HOU;2020;1.0
25;Alvin Gentry;NOP;2020;1.0
26;Quin Snyder;UTA;2020;3.0
28;Terry Stotts;POR;2020;1.0
29;Jim Boylen;CHI;2020;0.0
34;Erik Spoelstra;MIA;2020;3.0
36;Jacque Vaughn;BRK;2020;1.0
39;Luke Walton;SAC;2020;0.0
41;Doc Rivers;LAC;2020;3.0
43;James Borrego;CHO;2020;3.0
45;Brad Stevens;BOS;2020;3.0
58;Ryan Saunders;MIN;2020;1.0
71;;BRK;2020;
266;Steve Clifford;ORL;2020;3.0
24817;Erik Spoelstra;MIA;2021;2.0
24818;Scott Brooks;WAS;2021;1.0
24820;Mark Daigneault;OKC;2021;4.0
24821;Doc Rivers;PHI;2021;4.0
24823;J.B. Bickerstaff;CLE;2021;0.0
24825;Rick Carlisle;DAL;2021;0.0
24826;Mike Budenholzer;MIL;2021;4.0
24827;Brad Stevens;BOS;2021;0.0
24828;Steve Nash;BRK;2021;4.0
24829;Tom Thibodeau;NYK;2021;2.0
24830;Ryan Saunders;MIN;2021;4.0
24831;Nate Bjorkgren;IND;2021;4.0
24832;James Borrego;CHO;2021;4.0
24833;Luke Walton;SAC;2021;1.0
24834;Tyronn Lue;LAC;2021;2.0
24835;Nick Nurse;TOR;2021;0.0
24840;Mike Malone;DEN;2021;0.0
24841;Monty Williams;PHO;2021;0.0
24842;Lloyd Pierce;ATL;2021;4.0
24845;Terry Stotts;POR;2021;4.0
24847;Steve Kerr;GSW;2021;0.0
24848;Dwane Casey;DET;2021;0.0
24851;Quin Snyder;UTA;2021;2.0
24855;Gregg Popovich;SAS;2021;4.0
24869;Billy Donovan;CHI;2021;4.0
24892;Frank Vogel;LAL;2021;2.0
24894;Stan Van Gundy;NOP;2021;4.0
24903;Stephen Silas;HOU;2021;0.0
25392;Taylor Jenkins;MEM;2021;0.0
25398;Steve Clifford;ORL;2021;4.0
27921;;HOU;2021;
