;Opp_name;annee;cluster_player
0;Tristan Thompson;2020;1.0
1;;2020;
2;Pascal Siakam;2020;0.0
4;Giannis Antetokounmpo;2020;1.0
8;Dillon Brooks;2020;0.0
12;Rui Hachimura;2020;1.0
15;Sekou Doumbouya;2020;1.0
18;Eric Paschall;2020;0.0
20;Frank Kaminsky;2020;0.0
23;LeBron James;2020;0.0
24;Danuel House;2020;0.0
26;Joe Ingles;2020;0.0
28;Carmelo Anthony;2020;1.0
32;Jabari Parker;2020;0.0
34;Duncan Robinson;2020;0.0
41;Maurice Harkless;2020;0.0
43;Cody Zeller;2020;0.0
46;Patrick Patterson;2020;0.0
50;Enes Kanter;2020;4.0
51;Taj Gibson;2020;0.0
58;Juancho Hernangomez;2020;4.0
60;Rodney Hood;2020;1.0
63;Robert Covington;2020;1.0
66;Richaun Holmes;2020;1.0
80;Justin Jackson;2020;2.0
82;Doug McDermott;2020;4.0
89;Alfonzo McKinnie;2020;4.0
96;Kyle Kuzma;2020;4.0
116;Jaden McDaniels;2020;3.0
142;Wayne Ellington;2020;4.0
144;Jamal Murray;2020;0.0
145;Terrance Ferguson;2020;0.0
148;Malcolm Brogdon;2020;1.0
149;Furkan Korkmaz;2020;4.0
150;Dejounte Murray;2020;1.0
151;Bradley Beal;2020;1.0
152;Norman Powell;2020;0.0
153;Jeremy Lamb;2020;1.0
154;Luke Kennard;2020;0.0
157;Alec Burks;2020;0.0
158;Isaac Bonga;2020;1.0
159;Devin Booker;2020;1.0
162;Kentavious Caldwell-Pope;2020;3.0
163;James Harden;2020;1.0
165;Donovan Mitchell;2020;1.0
168;Zach LaVine;2020;0.0
170;Donte DiVincenzo;2020;0.0
173;Kendrick Nunn;2020;0.0
175;Joe Harris;2020;1.0
186;Tyler Herro;2020;3.0
189;Romeo Langford;2020;4.0
190;Reggie Bullock;2020;0.0
193;Bruce Brown,;2020;0.0
197;Malik Beasley;2020;4.0
203;Grayson Allen;2020;4.0
205;Bogdan Bogdanovic;2020;1.0
208;Shake Milton;2020;0.0
215;Dwayne Bacon;2020;3.0
219;Semi Ojeleye;2020;3.0
220;Kevin Knox;2020;4.0
221;Pat Connaughton;2020;4.0
223;Svi Mykhailiuk;2020;4.0
229;Trevor Ariza;2020;4.0
230;Solomon Hill;2020;4.0
231;Jake Layman;2020;4.0
234;Rodions Kurucs;2020;4.0
235;DaQuan Jeffries;2020;3.0
239;Jayson Tatum;2020;1.0
246;Kevin Durant;2020;
248;Andre Iguodala;2020;2.0
250;Otto Porter;2020;1.0
251;Brandon Ingram;2020;1.0
253;Justin Holiday;2020;4.0
254;Keita Bates-Diop;2020;2.0
256;Vlatko Cancar;2020;4.0
259;Justise Winslow;2020;3.0
261;Trey Lyles;2020;0.0
266;Terrence Ross;2020;4.0
268;Rudy Gay;2020;4.0
270;Miles Bridges;2020;3.0
284;DeMar DeRozan;2020;0.0
286;Jimmy Butler;2020;1.0
295;Gordon Hayward;2020;0.0
300;DeAndre' Bembry;2020;2.0
302;Kent Bazemore;2020;3.0
305;Torrey Craig;2020;0.0
351;Ogugua Anunoby;2020;0.0
353;Khris Middleton;2020;1.0
355;Danilo Gallinari;2020;0.0
356;Luka Doncic;2020;1.0
357;Jae Crowder;2020;1.0
368;Davis Bertans;2020;4.0
369;Kelly Oubre,;2020;0.0
378;Lauri Markkanen;2020;1.0
381;Kevin Huerter;2020;0.0
384;Miye Oni;2020;2.0
389;Talen Horton-Tucker;2020;4.0
390;Mfiondu Kabengele;2020;3.0
393;Abdel Nader;2020;4.0
422;Dean Wade;2020;4.0
427;Michael Porter,;2020;4.0
430;Kyle Anderson;2020;4.0
433;Chimezie Metu;2020;2.0
435;Chris Boucher;2020;4.0
436;Domantas Sabonis;2020;0.0
437;Blake Griffin;2020;1.0
447;Nicolo Melli;2020;4.0
448;Juwan Morgan;2020;2.0
452;Mike Scott;2020;2.0
461;Nemanja Bjelica;2020;0.0
466;Darius Bazley;2020;4.0
471;Jalen McDaniels;2020;4.0
473;Julius Randle;2020;1.0
480;Jarred Vanderbilt;2020;2.0
481;Luka Samanic;2020;
482;Wenyen Gabriel;2020;3.0
483;Chris Silva;2020;4.0
488;Harry Giles;2020;4.0
501;Shai Gilgeous-Alexander;2020;1.0
504;Aaron Holiday;2020;0.0
511;Collin Sexton;2020;0.0
517;Eric Bledsoe;2020;1.0
521;Mike Conley;2020;1.0
524;Tomas Satoransky;2020;0.0
531;Spencer Dinwiddie;2020;1.0
534;De'Aaron Fox;2020;1.0
535;Avery Bradley;2020;0.0
536;Patrick Beverley;2020;1.0
538;Devonte' Graham;2020;0.0
540;Marcus Smart;2020;0.0
541;Landry Shamet;2020;0.0
548;Trae Young;2020;1.0
561;Cory Joseph;2020;3.0
575;Jalen Brunson;2020;0.0
576;Tyus Jones;2020;3.0
578;Raulzinho Neto;2020;4.0
580;Ish Smith;2020;3.0
581;Kyle Lowry;2020;1.0
588;Jared Harper;2020;
592;Chris Clemons;2020;3.0
593;Lonzo Ball;2020;1.0
601;John Wall;2020;
604;Chris Chiozza;2020;3.0
608;Rajon Rondo;2020;3.0
612;Dennis Schroder;2020;4.0
618;Tremont Waters;2020;3.0
621;Jeff Teague;2020;3.0
622;Derrick Rose;2020;0.0
642;Bruno Fernando;2020;4.0
