;Opp;annee;cluster_team
0;CLE;2020;2
1;ATL;2020;0
2;TOR;2020;1
3;NYK;2020;3
4;MIL;2020;4
5;DEN;2020;4
6;OKC;2020;4
7;DAL;2020;4
8;MEM;2020;4
9;IND;2020;4
10;PHI;2020;1
11;SAS;2020;4
12;WAS;2020;0
15;DET;2020;4
18;GSW;2020;2
20;PHO;2020;0
23;LAL;2020;4
24;HOU;2020;0
25;NOP;2020;0
26;UTA;2020;4
28;POR;2020;0
29;CHI;2020;3
34;MIA;2020;4
36;BRK;2020;0
39;SAC;2020;3
41;LAC;2020;4
43;CHO;2020;4
45;BOS;2020;4
58;MIN;2020;0
266;ORL;2020;4
24817;MIA;2021;1
24818;WAS;2021;0
24820;OKC;2021;2
24821;PHI;2021;3
24823;CLE;2021;3
24825;DAL;2021;3
24826;MIL;2021;2
24827;BOS;2021;3
24828;BRK;2021;2
24829;NYK;2021;1
24830;MIN;2021;2
24831;IND;2021;2
24832;CHO;2021;3
24833;SAC;2021;0
24834;LAC;2021;1
24835;TOR;2021;3
24840;DEN;2021;3
24841;PHO;2021;3
24842;ATL;2021;2
24845;POR;2021;2
24847;GSW;2021;3
24848;DET;2021;3
24851;UTA;2021;1
24855;SAS;2021;2
24869;CHI;2021;2
24892;LAL;2021;1
24894;NOP;2021;2
24903;HOU;2021;3
25392;MEM;2021;3
25398;ORL;2021;2
