;Team;victoire;defaite;total
0;atl;49.5;32.5;82.0
1;bkn;58.1;23.9;82.0
2;bos;45.166666666666664;36.833333333333336;82.0
3;cha;26.966666666666665;55.03333333333333;82.0
4;chi;48.7;33.3;82.0
5;cle;41.53333333333333;40.46666666666667;82.0
6;dal;43.43333333333333;38.56666666666667;82.0
7;den;51.2;30.8;82.0
8;det;23.966666666666665;58.03333333333333;82.0
9;gs;47.3;34.7;82.0
10;hou;29.933333333333334;52.06666666666667;82.0
11;ind;37.766666666666666;44.233333333333334;82.0
12;lac;51.666666666666664;30.333333333333332;82.0
13;lal;47.1;34.9;82.0
14;mem;50.6;31.4;82.0
15;mia;51.733333333333334;30.266666666666666;82.0
16;mil;48.266666666666666;33.733333333333334;82.0
17;min;44.46666666666667;37.53333333333333;82.0
18;no;41.46666666666667;40.53333333333333;82.0
19;ny;45.666666666666664;36.333333333333336;82.0
20;okc;11.933333333333334;70.06666666666666;82.0
21;orl;18.733333333333334;63.266666666666666;82.0
22;phi;37.266666666666666;44.733333333333334;82.0
23;pho;33.766666666666666;48.233333333333334;82.0
24;por;42.53333333333333;39.46666666666667;82.0
25;sa;21.266666666666666;60.733333333333334;82.0
26;sac;45.0;37.0;82.0
27;tor;32.7;49.3;82.0
28;utah;68.6;13.4;82.0
29;wsh;34.13333333333333;47.86666666666667;82.0
