;Team;losses;wins;GP
0;atl;25.075;56.925;82.0
1;bkn;12.9375;69.0625;82.0
2;bos;26.3875;55.6125;82.0
3;cha;64.6375;17.3625;82.0
4;chi;42.975;39.025;82.0
5;cle;59.8125;22.1875;82.0
6;dal;33.9;48.1;82.0
7;den;23.0125;58.9875;82.0
8;det;67.95;14.05;82.0
9;gs;34.2;47.8;82.0
10;hou;68.5;13.5;82.0
11;ind;39.95;42.05;82.0
12;lac;22.375;59.625;82.0
13;lal;24.8125;57.1875;82.0
14;mem;33.275;48.725;82.0
15;mia;37.65;44.35;82.0
16;mil;19.575;62.425;82.0
17;min;53.2375;28.7625;82.0
18;no;46.175;35.825;82.0
19;ny;30.1875;51.8125;82.0
20;okc;77.725;4.275;82.0
21;orl;71.3625;10.6375;82.0
22;phi;23.775;58.225;82.0
23;pho;23.5125;58.4875;82.0
24;por;43.2125;38.7875;82.0
25;sa;64.275;17.725;82.0
26;sac;47.2375;34.7625;82.0
27;tor;50.325;31.675;82.0
28;utah;4.7;77.3;82.0
29;wsh;56.6;25.4;82.0
