Team,FG%,3P%,2P%,TRB,AST,STL,BLK,TOV,PTS
New York Knicks*,.440,.337,.512,44.1,23.6,6.6,5.4,12.8,104.7
Los Angeles Lakers*,.460,.352,.524,42.0,24.7,8.2,4.5,15.2,106.8
Utah Jazz*,.447,.341,.504,42.6,22.3,7.7,3.9,11.5,107.2
Los Angeles Clippers*,.464,.356,.529,41.2,22.9,7.1,4.2,12.8,107.8
Miami Heat*,.459,.365,.538,42.9,25.8,7.5,4.0,15.1,108.0
Philadelphia 76ers*,.453,.360,.510,42.9,23.5,7.2,4.7,15.6,108.1
Phoenix Suns*,.467,.354,.535,42.7,22.9,6.9,3.6,13.6,109.5
Denver Nuggets*,.469,.363,.545,41.2,25.9,7.5,4.5,14.1,110.1
Dallas Mavericks*,.460,.365,.525,43.9,22.7,7.3,3.7,12.6,110.2
Detroit Pistons,.476,.362,.541,44.3,24.8,8.0,5.8,13.9,111.1
Boston Celtics*,.464,.374,.524,42.5,24.1,7.4,4.6,14.1,111.2
Atlanta Hawks*,.463,.349,.534,42.7,24.4,7.7,5.0,12.3,111.4
Charlotte Hornets,.468,.366,.552,45.2,27.1,8.1,4.8,14.8,111.4
Chicago Bulls,.473,.356,.541,42.1,24.1,8.5,5.1,12.7,111.6
Toronto Raptors,.461,.379,.523,45.9,26.0,6.6,5.6,16.1,111.7
Memphis Grizzlies*,.462,.367,.525,44.7,25.4,7.7,5.2,14.8,112.3
Cleveland Cavaliers,.484,.383,.545,43.7,25.4,8.5,5.9,14.3,112.3
Golden State Warriors,.452,.359,.511,47.3,23.8,7.9,4.3,15.0,112.7
San Antonio Spurs,.472,.377,.527,47.4,24.8,6.3,5.1,13.2,112.8
Orlando Magic,.471,.373,.539,47.4,26.0,7.6,5.3,12.7,113.3
Brooklyn Nets*,.459,.365,.521,43.1,24.0,7.6,4.6,12.6,114.1
Milwaukee Bucks*,.456,.384,.507,43.4,25.1,7.0,4.8,13.2,114.2
Portland Trail Blazers*,.473,.372,.538,45.4,24.9,6.1,4.6,12.4,114.3
New Orleans Pelicans,.469,.380,.535,41.8,25.9,7.7,5.9,13.3,114.9
Indiana Pacers,.468,.366,.521,46.8,26.1,7.4,5.3,14.8,115.3
Oklahoma City Thunder,.473,.364,.548,47.1,25.8,9.0,5.3,13.1,115.6
Houston Rockets,.480,.382,.544,47.6,25.8,8.5,5.3,14.7,116.7
Sacramento Kings,.488,.380,.549,45.2,25.3,7.6,4.7,13.7,117.4
Minnesota Timberwolves,.482,.392,.536,45.8,26.8,7.6,5.5,15.3,117.7
Washington Wizards*,.471,.369,.529,46.1,24.5,8.2,4.8,14.7,118.5
