Team,MP,FG%,3P%,2P%,AST,STL,BLK,TOV,PF,PTS
Milwaukee Bucks*,240.7,.487,.389,.554,25.5,8.1,4.6,13.8,17.3,120.1
Brooklyn Nets*,241.7,.494,.392,.565,26.8,6.7,5.3,13.5,19.0,118.6
Washington Wizards*,241.7,.475,.351,.533,25.5,7.3,4.1,14.4,21.6,116.6
Utah Jazz*,241.0,.468,.389,.544,23.7,6.6,5.2,14.2,18.5,116.4
Portland Trail Blazers*,240.3,.453,.385,.509,21.3,6.9,5.0,11.1,18.9,116.1
Phoenix Suns*,242.8,.490,.378,.563,26.9,7.2,4.3,12.5,19.1,115.3
Indiana Pacers,242.4,.474,.364,.540,27.4,8.5,6.4,13.5,20.2,115.3
Denver Nuggets*,242.8,.485,.377,.552,26.8,8.1,4.5,13.5,19.1,115.1
New Orleans Pelicans,242.1,.477,.348,.544,26.0,7.6,4.4,14.6,18.0,114.6
Los Angeles Clippers*,240.0,.482,.411,.529,24.4,7.1,4.1,13.2,19.2,114.0
Atlanta Hawks*,241.7,.468,.373,.526,24.1,7.0,4.8,13.2,19.3,113.7
Sacramento Kings,240.3,.481,.364,.551,25.5,7.5,5.0,13.4,19.4,113.7
Golden State Warriors,240.3,.468,.376,.541,27.7,8.2,4.8,15.0,21.2,113.7
Philadelphia 76ers*,242.1,.476,.374,.531,23.7,9.1,6.2,14.4,20.2,113.6
Memphis Grizzlies*,241.7,.467,.356,.525,26.9,9.1,5.1,13.3,18.7,113.3
Boston Celtics*,241.4,.466,.374,.530,23.5,7.7,5.3,14.1,20.4,112.6
Dallas Mavericks*,240.3,.470,.362,.554,22.9,6.3,4.3,12.1,19.4,112.4
Minnesota Timberwolves,241.7,.448,.349,.518,25.6,8.8,5.5,14.3,20.9,112.1
Toronto Raptors,240.3,.448,.368,.512,24.1,8.6,5.4,13.2,21.2,111.3
San Antonio Spurs,242.8,.462,.350,.514,24.4,7.0,5.1,11.4,18.0,111.1
Chicago Bulls,241.4,.476,.370,.542,26.8,6.7,4.2,15.1,18.9,110.7
Los Angeles Lakers*,242.4,.472,.354,.539,24.7,7.8,5.4,15.2,19.1,109.5
Charlotte Hornets,241.0,.455,.369,.517,26.8,7.8,4.8,14.8,18.0,109.5
Houston Rockets,240.3,.444,.339,.532,23.6,7.6,5.0,14.7,19.5,108.8
Miami Heat*,241.4,.468,.358,.553,26.3,7.9,4.0,14.1,18.9,108.1
New York Knicks*,242.1,.456,.392,.490,21.4,7.0,5.1,12.9,20.5,107.0
Detroit Pistons,242.1,.452,.351,.515,24.2,7.4,5.2,14.9,20.5,106.6
Oklahoma City Thunder,241.0,.441,.339,.509,22.1,7.0,4.4,16.1,18.1,105.0
Orlando Magic,240.7,.429,.343,.476,21.8,6.9,4.4,12.8,17.2,104.0
Cleveland Cavaliers,242.1,.450,.336,.510,23.8,7.8,4.5,15.5,18.2,103.8
