;full_name;code;letter;POS;Age
0;Bogdan Bogdanovic;bogdabo01;b;SG;29
1;Clint Capela;capelca01;c;C;27
2;John Collins;collijo01;c;PF;23
3;Sharife Cooper;coopesh01;c;PG;20
4;Gorgui Dieng;dienggo01;d;C;31
5;Danilo Gallinari;gallida01;g;PF;33
6;Brandon Goodwin;goodwbr01;g;PG;25
7;Johnny Hamilton;hamiljo01;h;C;27
8;Solomon Hill;hillso01;h;SF;30
9;Kevin Huerter;huertke01;h;SG;23
10;DeAndre Hunter;huntede01;h;SF;23
11;Jalen Johnson;johnsja01;j;SF;19
12;AJ Lawson;lawsoaj01;l;G;21
13;Skylar Mays;mayssk01;m;SG;24
14;Onyeka Okongwu;okongon01;o;PF;20
15;Cam Reddish;reddica01;r;SF;22
16;Lou Williams;willilo02;w;SG;34
17;Delon Wright;wrighde01;w;SG;29
18;Trae Young;youngtr01;y;PG;22
0;Juhann Begarin;begarju01;b;SG;19
1;Jaylen Brown;brownja02;b;SG;24
2;Kris Dunn;dunnkr01;d;PG;27
3;Carsen Edwards;edwarca01;e;PG;23
4;Bruno Fernando;fernabr01;f;F;23
5;Sam Hauser;hausesa01;h;SF;23
6;Al Horford;horfoal01;h;C;35
7;Enes Kanter;kanteen01;k;C;29
8;Luke Kornet;kornelu01;k;C;26
9;Romeo Langford;langfro01;l;SG;21
10;Juwan Morgan;morgaju01;m;F;24
11;Aaron Nesmith;nesmiaa01;n;SF;21
12;Jabari Parker;parkeja01;p;PF;26
13;Payton Pritchard;pritcpa01;p;PG;23
14;Josh Richardson;richajo01;r;SG;27
15;Dennis Schroder;schrode01;s;PG;27
16;Marcus Smart;smartma01;s;PG;27
17;Jayson Tatum;tatumja01;t;SF;23
18;Grant Williams;willigr01;w;PF;22
19;Robert WilliamsI;williro04;w;C;23
0;LaMarcus Aldridge;aldrila01;a;F;36
1;DeAndre Bembry;bembrde01;b;SG;27
2;Bruce Brown;brownbr01;b;SF;25
3;Jevon Carter;carteje01;c;PG;25
4;Nicolas Claxton;claxtni01;c;PF;22
5;Sekou Doumbouya;doumbse01;d;SF;20
6;David Duke;dukeda01;d;G;21
7;Kevin Durant;duranke01;d;PF;32
8;Kessler Edwards;edwarke01;e;SF;21
9;RaiQuan Gray;grayra01;g;PF;22
10;Blake Griffin;griffbl01;g;PF;32
11;James Harden;hardeja01;h;SG;32
12;Joe Harris;harrijo01;h;SF;30
13;Kyrie Irving;irvinky01;i;PG;29
14;Mike James;jamesmi02;j;PG;31
15;James Johnson;johnsja01;j;PF;34
16;Tyler Johnson;johnsty01;j;SG;29
17;Timothe Luwawu-Cabarrot;luwawti01;l;SG;26
18;Patty Mills;millspa01;m;PG;33
19;Paul Millsap;millspa01;m;PF;36
20;Reggie Perry;perryre01;p;PF;21
21;DayRon Sharpe;sharpda01;s;C;19
22;Cam Thomas;thomaca01;t;SG;19
23;Marcus Zegarowski;zegarma01;z;PG;23
0;Lonzo Ball;balllo01;b;PG;23
1;Tony Bradley;bradlto01;b;C;23
2;Troy Brown;browntr01;b;SF;22
3;Alex Caruso;carusal01;c;SG;27
4;Tyler Cook;cookty01;c;F;23
5;DeMar DeRozan;derozde01;d;SF;32
6;Ayo Dosunmu;dosunay01;d;SG;21
7;Devon Dotson;dotsode01;d;PG;22
8;Javonte Green;greenja01;g;PG;28
9;Alize Johnson;johnsal02;j;F;25
10;Stanley Johnson;johnsst01;j;F;25
11;Derrick Jones;jonesde02;j;SF;24
12;Zach LaVine;lavinza01;l;SG;26
13;Marko Simonovic;simonma01;s;C;21
14;Matt Thomas;thomama01;t;SG;27
15;Ethan Thompson;thompet01;t;SG;22
16;Nikola Vucevic;vucevni01;v;C;30
17;Coby White;whiteco01;w;PG;21
18;Patrick Williams;willipa01;w;PF;20
0;LaMelo Ball;ballla01;b;PG;20
1;James Bouknight;bouknja01;b;SG;20
2;Miles Bridges;bridgmi01;b;SF;23
3;Vernon Carey;careyve01;c;C;20
4;DJ Carton;cartodj01;c;PG;21
5;Gordon Hayward;haywago01;h;SF;31
6;Wes Iwundu;iwundwe01;i;SF;26
7;Kai Jones;joneska01;j;PF;20
8;Arnoldas Kulboka;kulboar01;k;PF;23
9;Scottie Lewis;lewissc01;l;SG;21
10;Cody Martin;martico01;m;SF;25
11;Jalen McDaniels;mcdanja01;m;PF;23
12;Kelly Oubre;oubreke01;o;SG;25
13;Mason Plumlee;plumlma01;p;C;31
14;Nick Richards;richani01;r;C;23
15;Terry Rozier;roziete01;r;SG;27
16;Ish Smith;smithis01;s;PG;33
17;JT Thor;thorjt01;t;PF;19
18;PJ Washington;washipj01;w;PF;23
0;Goga Bitadze;bitadgo01;b;C;22
1;Oshae Brissett;brissos01;b;SF;23
2;Malcolm Brogdon;brogdma01;b;PG;28
3;Torrey Craig;craigto01;c;SF;30
4;Chris Duarte;duartch01;d;SG;24
5;Nate Hinton;hintona01;h;SG;22
6;Justin Holiday;holidju01;h;SF;32
7;Isaiah Jackson;jacksis01;j;PF;19
8;DJn Jarreau;jarredj01;j;F;23
9;Jeremy Lamb;lambje01;l;SG;29
10;Caris LeVert;leverca01;l;SG;27
11;Kelan Martin;martike01;m;SG;26
12;T.J. McConnell;mccontj01;m;PG;29
13;Domantas Sabonis;sabondo01;s;PF;25
14;JaKarr Sampson;sampsja01;s;SF;28
15;Cassius Stanley;stanlca01;s;SG;22
16;Edmond Sumner;sumneed01;s;PG;25
17;Keifer Sykes;sykeske01;s;SG;27
18;Terry Taylor;taylote01;t;SG;21
19;Myles Turner;turnemy01;t;C;25
20;T.J. Warren;warretj01;w;SF;28
21;Duane Washington;washidu01;w;PG;21
0;Deni Avdija;avdijde01;a;SF;20
1;Bradley Beal;bealbr01;b;SG;28
2;Davis Bertans;bertada01;b;SF;28
3;Thomas Bryant;bryanth01;b;C;24
4;Kentavious Caldwell-Pope;caldwke01;c;SG;28
5;Spencer Dinwiddie;dinwisp01;d;PG;28
6;Daniel Gafford;gaffoda01;g;C;22
7;Anthony Gill;gillan01;g;PF;28
8;Jordan Goodwin;goodwjo01;g;SG;22
9;Rui Hachimura;hachiru01;h;PF;23
10;Montrezl Harrell;harremo01;h;C;27
11;Aaron Holiday;holidaa01;h;PG;24
12;Jay Huff;huffja01;h;C;23
13;Corey Kispert;kispeco01;k;SF;22
14;Kyle Kuzma;kuzmaky01;k;SF;26
15;Garrison Mathews;mathega01;m;SG;24
16;Raul Neto;netora01;n;PG;29
17;Isaiah Todd;toddis01;t;PF;19
18;Cassius Winston;winstca01;w;PG;23
0;Charles Bassey;bassech01;b;C;20
1;Gary Clark;clarkga01;c;SF;26
2;Seth Curry;curryse01;c;SG;31
3;Andre Drummond;drumman01;d;C;28
4;Joel Embiid;embiijo01;e;C;27
5;Danny Green;greenda02;g;SF;34
6;Tobias Harris;harrito02;h;PF;29
7;Aaron Henry;henryaa01;h;SF;22
8;Isaiah Joe;joeis01;j;SG;22
9;Furkan Korkmaz;korkmfu01;k;SG;24
10;Tyrese Maxey;maxeyty01;m;PG;20
11;Shake Milton;miltosh01;m;SG;24
12;Georges Niang;niangge01;n;F;28
13;Filip Petrusev;petrufi01;p;PF;21
14;Paul Reed;reedpa01;r;SF;22
15;Grant Riller;rillegr01;r;G;24
16;Mike Scott;scottmi01;s;PF;33
17;Ben Simmons;simmobe01;s;PG;25
18;Jaden Springer;sprinja01;s;PG;18
19;Matisse Thybulle;thybuma01;t;SG;24
0;Bam Adebayo;adebaba01;a;C;24
1;Jimmy Butler;butleji01;b;SF;31
2;Dewayne Dedmon;dedmode01;d;C;32
3;Marcus Garrett;garrema01;g;SG;22
4;Udonis Haslem;hasleud01;h;PF;41
5;Tyler Herro;herroty01;h;PG;21
6;Kyle Lowry;lowryky01;l;PG;35
7;Markieff Morris;morrisma02;m;PF;32
8;KZ Okpala;okpalkz01;o;SF;22
9;Victor Oladipo;oladivi01;o;SG;29
10;Micah Potter;pottemi01;p;F;23
11;Duncan Robinson;robindu01;r;SG;27
12;Javonte Smart;smartja01;s;G;22
13;Dru Smith;smithdr01;s;G;23
14;DJ Stewart;stewadj01;s;G;22
15;Max Strus;strusma01;s;SG;25
16;PJ Tucker;tuckepj01;t;PF;36
17;Gabe Vincent;vincega01;v;PG;25
18;Omer Yurtseven;yurtsom01;y;C;23
0;Grayson Allen;allengr01;a;SG;25
1;Giannis Antetokounmpo;antetgi01;a;PF;26
2;Thanasis Antetokounmpo;antetth01;a;SF;29
3;Elijah Bryant;bryanel01;b;SG;26
4;Pat Connaughton;connapa01;c;SG;28
5;Donte DiVincenzo;divindo01;d;SG;24
6;Mamadi Diakite;diakima01;d;PF;24
7;George Hill;hillge01;h;G;35
8;Jrue Holiday;holidjr01;h;PG;31
9;Rodney Hood;hoodro01;h;SG;28
10;Justin Jackson;jacksju01;j;SF;26
11;Georgios Kalaitzakis;kalaige01;k;SF;22
12;Brook Lopez;lopezbr01;l;C;33
13;Sandro Mamukelashvili;mamuksa01;m;PF;22
14;Khris Middleton;middlkh01;m;SF;30
15;Jordan Nwora;nworajo01;n;SF;23
16;Semi Ojeleye;ojelese01;o;PF;26
17;Bobby Portis;portibo01;p;C;26
18;Jeff Teague;teaguje01;t;PG;33
19;Axel Toupane;toupaax01;t;SG;29
20;Tremont Waters;watertr01;w;PG;23
0;Cole Anthony;anthoco01;a;PG;21
1;Mo Bamba;bambamo01;b;C;23
2;Ignas Brazdeikis;brazdig01;b;SF;22
3;Wendell Carter;cartewe01;c;C;22
4;Michael Carter-Williams;cartemi01;c;PG;29
5;Jeff Dowtin;dowtije01;d;PG;24
6;James EnnisI;ennisja01;e;SF;31
7;Markelle Fultz;fultzma01;f;PG;23
8;Hassani Gravett;graveha01;g;PG;25
9;R.J. Hampton;hamptrj;h;PG;20
10;Gary Harris;harriga01;h;SG;26
11;Jonathan Isaac;isaacjo01;i;PF;23
12;Robin Lopez;lopezro01;l;C;33
13;ETwaun Moore;mooreet01;m;G;32
14;Chuma Okeke;okekech01;o;PF;23
15;Chasson Randle;randlch01;r;PG;28
16;Terrence Ross;rosste01;r;SG;30
17;Jalen Suggs;suggsja01;s;SG;20
18;Jon Teske;teskejo01;t;C;24
19;Sindarius Thornwell;thornsi01;t;SG;26
20;Franz Wagner;wagnefr01;w;SF;20
21;Moritz Wagner;wagnemo01;w;C;24
0;Saddiq Bey;beysa01;b;SF;22
1;Cade Cunningham;cunnica01;c;PG;19
