;Key;annee;cluster
0;Alvin Gentry;2009;3
1;Alvin Gentry;2010;0
2;Alvin Gentry;2011;4
3;Alvin Gentry;2012;0
4;Alvin Gentry;2016;0
5;Alvin Gentry;2017;0
6;Alvin Gentry;2018;0
7;Alvin Gentry;2019;0
8;Alvin Gentry;2020;3
9;Avery Johnson;2011;4
10;Avery Johnson;2012;2
11;Billy Donovan;2016;0
12;Billy Donovan;2017;0
13;Billy Donovan;2018;3
14;Billy Donovan;2019;0
15;Billy Donovan;2020;3
16;Billy Donovan;2021;3
17;Brad Stevens;2014;0
18;Brad Stevens;2015;0
19;Brad Stevens;2016;0
20;Brad Stevens;2017;0
21;Brad Stevens;2018;3
22;Brad Stevens;2019;3
23;Brad Stevens;2020;3
24;Brad Stevens;2021;3
25;Brett Brown;2014;2
26;Brett Brown;2015;0
27;Brett Brown;2016;0
28;Brett Brown;2017;0
29;Brett Brown;2018;0
30;Brett Brown;2019;0
31;Brett Brown;2020;3
32;Brian Hill;2006;4
33;Brian Hill;2007;3
34;Brian Shaw;2014;1
35;Byron Scott;2006;0
36;Byron Scott;2007;2
37;Byron Scott;2008;4
38;Byron Scott;2009;4
39;Byron Scott;2012;0
40;Byron Scott;2013;4
41;Byron Scott;2015;0
42;Byron Scott;2016;4
43;Chris Finch;2021;3
44;Dave Joerger;2014;0
45;Dave Joerger;2015;0
46;Dave Joerger;2016;3
47;Dave Joerger;2017;3
48;Dave Joerger;2018;3
49;Dave Joerger;2019;0
50;David Blatt;2015;0
51;David Fizdale;2017;0
52;David Fizdale;2019;3
53;Derek Fisher;2015;4
54;Doc Rivers;2007;3
55;Doc Rivers;2008;2
56;Doc Rivers;2009;4
57;Doc Rivers;2010;4
58;Doc Rivers;2011;4
59;Doc Rivers;2012;4
60;Doc Rivers;2013;2
61;Doc Rivers;2014;0
62;Doc Rivers;2015;0
63;Doc Rivers;2016;0
64;Doc Rivers;2017;0
65;Doc Rivers;2018;0
66;Doc Rivers;2019;0
67;Doc Rivers;2020;3
68;Doc Rivers;2021;3
69;Don Nelson;2010;2
70;Doug Collins;2011;0
71;Doug Collins;2012;0
72;Doug Collins;2013;4
73;Dwane Casey;2012;0
74;Dwane Casey;2013;0
75;Dwane Casey;2014;0
76;Dwane Casey;2015;0
77;Dwane Casey;2016;0
78;Dwane Casey;2017;0
79;Dwane Casey;2018;3
80;Dwane Casey;2019;3
81;Dwane Casey;2020;3
82;Dwane Casey;2021;3
83;Earl Watson;2016;0
84;Earl Watson;2017;0
85;Ed Tapscott;2009;1
86;Eddie Jordan;2006;4
87;Eddie Jordan;2007;3
88;Eddie Jordan;2010;0
89;Erik Spoelstra;2009;2
90;Erik Spoelstra;2010;1
91;Erik Spoelstra;2011;4
92;Erik Spoelstra;2012;0
93;Erik Spoelstra;2013;4
94;Erik Spoelstra;2014;0
95;Erik Spoelstra;2015;3
96;Erik Spoelstra;2016;0
97;Erik Spoelstra;2017;0
98;Erik Spoelstra;2018;0
99;Erik Spoelstra;2019;3
100;Erik Spoelstra;2020;3
101;Erik Spoelstra;2021;3
102;Flip Saunders;2006;4
103;Flip Saunders;2007;2
104;Flip Saunders;2008;0
105;Flip Saunders;2010;0
106;Flip Saunders;2011;4
107;Flip Saunders;2015;0
108;Frank Vogel;2011;0
109;Frank Vogel;2012;0
110;Frank Vogel;2013;4
111;Frank Vogel;2014;4
112;Frank Vogel;2015;4
113;Frank Vogel;2016;0
114;Frank Vogel;2017;0
115;Frank Vogel;2018;3
116;Frank Vogel;2020;3
117;Frank Vogel;2021;3
118;Fred Hoiberg;2016;4
119;Fred Hoiberg;2017;0
120;Fred Hoiberg;2018;3
121;George Karl;2006;3
122;George Karl;2007;0
123;George Karl;2008;2
124;George Karl;2009;4
125;George Karl;2010;2
126;George Karl;2011;4
127;George Karl;2012;4
128;George Karl;2013;0
129;George Karl;2015;2
130;George Karl;2016;0
131;Gregg Popovich;2006;2
132;Gregg Popovich;2007;4
133;Gregg Popovich;2008;2
134;Gregg Popovich;2009;1
135;Gregg Popovich;2010;0
136;Gregg Popovich;2011;1
137;Gregg Popovich;2012;0
138;Gregg Popovich;2013;4
139;Gregg Popovich;2014;4
140;Gregg Popovich;2015;0
141;Gregg Popovich;2016;0
142;Gregg Popovich;2017;0
143;Gregg Popovich;2018;3
144;Gregg Popovich;2019;3
145;Gregg Popovich;2020;3
146;Gregg Popovich;2021;3
147;Igor Kokoskov;2019;3
148;J.B. Bickerstaff;2016;0
149;J.B. Bickerstaff;2018;3
150;J.B. Bickerstaff;2019;3
151;J.B. Bickerstaff;2020;3
152;J.B. Bickerstaff;2021;3
153;Jacque Vaughn;2013;0
154;Jacque Vaughn;2014;0
155;Jacque Vaughn;2020;3
156;James Borrego;2015;3
157;James Borrego;2019;3
158;James Borrego;2020;3
159;James Borrego;2021;3
160;Jason Kidd;2014;3
161;Jason Kidd;2015;0
162;Jason Kidd;2016;4
163;Jason Kidd;2017;0
164;Jay Triano;2010;2
165;Jay Triano;2011;4
166;Jay Triano;2018;0
167;Jeff Bower;2010;4
168;Jeff Hornacek;2014;0
169;Jeff Hornacek;2015;4
170;Jeff Hornacek;2017;0
171;Jeff Hornacek;2018;3
172;Jerry Sloan;2007;1
173;Jerry Sloan;2008;1
174;Jerry Sloan;2009;0
175;Jerry Sloan;2010;3
176;Jim Boylan;2013;3
177;Jim Boylen;2019;3
178;Jim Boylen;2020;3
179;Joe Prunty;2018;3
180;John Kuester;2010;4
181;John Kuester;2011;4
182;John Loyer;2014;4
183;Kaleb Canales;2012;4
184;Keith Smart;2011;2
185;Keith Smart;2012;4
186;Keith Smart;2013;0
187;Kenny Atkinson;2017;0
188;Kenny Atkinson;2018;0
189;Kenny Atkinson;2019;0
190;Kevin McHale;2009;3
191;Kevin McHale;2012;0
192;Kevin McHale;2013;4
193;Kevin McHale;2014;2
194;Kevin McHale;2015;2
195;Kiki Vandeweghe;2010;4
196;Kim Hughes;2010;4
197;Kurt Rambis;2010;3
198;Kurt Rambis;2011;4
199;Kurt Rambis;2016;0
200;Larry Brown;2006;4
201;Larry Brown;2009;1
202;Larry Drew;2011;4
203;Larry Drew;2012;2
204;Larry Drew;2013;4
205;Larry Drew;2014;0
206;Larry Drew;2019;3
207;Lawrence Frank;2009;3
208;Lawrence Frank;2012;4
209;Lawrence Frank;2013;0
210;Lindsey Hunter;2013;4
211;Lionel Hollins;2009;0
212;Lionel Hollins;2010;2
213;Lionel Hollins;2011;4
214;Lionel Hollins;2012;4
215;Lionel Hollins;2013;0
216;Lionel Hollins;2015;0
217;Lloyd Pierce;2019;0
218;Lloyd Pierce;2020;3
219;Luke Walton;2017;0
220;Luke Walton;2018;0
221;Luke Walton;2019;0
222;Luke Walton;2020;3
223;Luke Walton;2021;3
224;Marc Iavaroni;2008;4
225;Mark Daigneault;2021;3
226;Mark Jackson;2012;4
227;Mark Jackson;2013;0
228;Mark Jackson;2014;0
229;Maurice Cheeks;2006;2
230;Maurice Cheeks;2007;2
231;Maurice Cheeks;2008;3
232;Melvin Hunt;2015;3
233;Michael Curry;2009;2
234;Michael Malone;2014;0
235;Michael Malone;2016;0
236;Michael Malone;2017;0
237;Michael Malone;2018;0
238;Michael Malone;2019;3
239;Michael Malone;2020;3
240;Michael Malone;2021;3
241;Mike Brown;2006;0
242;Mike Brown;2007;3
243;Mike Brown;2008;0
244;Mike Brown;2009;4
245;Mike Brown;2010;2
246;Mike Brown;2014;0
247;Mike Budenholzer;2014;0
248;Mike Budenholzer;2015;0
249;Mike Budenholzer;2016;0
250;Mike Budenholzer;2017;0
251;Mike Budenholzer;2018;3
252;Mike Budenholzer;2019;0
253;Mike Budenholzer;2020;3
254;Mike Budenholzer;2021;3
255;Mike D'Antoni;2009;1
256;Mike D'Antoni;2010;2
257;Mike D'Antoni;2011;2
258;Mike D'Antoni;2013;2
259;Mike D'Antoni;2014;4
260;Mike D'Antoni;2017;0
261;Mike D'Antoni;2018;0
262;Mike D'Antoni;2019;3
263;Mike D'Antoni;2020;3
264;Mike Dunlap;2013;0
265;Mike Dunleavy;2009;4
266;Mike Miller;2020;3
267;Mike Woodson;2008;4
268;Mike Woodson;2009;4
269;Mike Woodson;2010;4
270;Mike Woodson;2012;4
271;Mike Woodson;2013;4
272;Mike Woodson;2014;4
273;Monty Williams;2011;4
274;Monty Williams;2012;0
275;Monty Williams;2013;0
276;Monty Williams;2014;0
277;Monty Williams;2015;4
278;Monty Williams;2020;3
279;Monty Williams;2021;3
280;Nate Bjorkgren;2021;3
281;Nate McMillan;2007;3
282;Nate McMillan;2008;2
283;Nate McMillan;2009;0
284;Nate McMillan;2010;4
285;Nate McMillan;2011;4
286;Nate McMillan;2017;4
287;Nate McMillan;2018;0
288;Nate McMillan;2019;3
289;Nate McMillan;2020;3
290;Nate McMillan;2021;3
291;Nick Nurse;2019;3
292;Nick Nurse;2020;3
293;Nick Nurse;2021;3
