;Rk;G;Date;Age;Tm;Unnamed: 5;Opp;Unnamed: 7;GS;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;+/-;url;joueur;annee
0;1;1;2008-10-29;22-148;ATL;@;ORL;W (+14);1;29:17;3;7;.429;0;0;;4;6;.667;4;5;9;4;1;1;2;5;10;10.3;+5;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
1;2;2;2008-11-01;22-151;ATL;;PHI;W (+7);1;34:42;4;7;.571;0;0;;1;2;.500;1;6;7;4;0;1;0;3;9;10.1;+5;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
2;3;3;2008-11-05;22-155;ATL;@;NOH;W (+8);1;32:56;4;7;.571;0;0;;2;4;.500;1;7;8;4;1;1;1;2;10;11.4;+2;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
3;4;4;2008-11-07;22-157;ATL;;TOR;W (+18);1;16:35;3;6;.500;0;0;;1;2;.500;2;6;8;2;0;0;2;4;7;4.6;+27;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
4;5;5;2008-11-09;22-159;ATL;@;OKC;W (+4);1;43:12;2;6;.333;0;0;;4;6;.667;1;11;12;2;0;5;1;1;8;11.3;+4;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
5;6;6;2008-11-11;22-161;ATL;@;CHI;W (+5);1;41:29;9;18;.500;0;0;;9;13;.692;6;11;17;3;1;6;2;2;27;28.4;+11;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
6;7;7;2008-11-12;22-162;ATL;@;BOS;L (-1);1;22:48;2;6;.333;0;0;;1;2;.500;1;2;3;2;2;2;1;5;5;4.3;+4;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
7;8;8;2008-11-14;22-164;ATL;@;NJN;L (-7);1;35:22;2;9;.222;0;0;;2;2;1.000;2;9;11;4;0;0;3;3;6;3.2;-10;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
8;9;9;2008-11-15;22-165;ATL;;NJN;L (-12);1;39:19;5;10;.500;0;0;;2;2;1.000;0;6;6;1;0;1;1;3;12;8.0;-18;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
9;10;10;2008-11-18;22-168;ATL;@;IND;L (-17);1;6:48;1;1;1.000;0;0;;0;0;;0;0;0;0;0;0;0;0;2;1.7;-10;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
10;11;;2008-11-19;22-169;ATL;;WAS;W (+4);Inactive;;;;;;;;;;;;;;;;;;;;;;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
11;12;11;2008-11-21;22-171;ATL;;CHA;W (+5);1;30:06;2;4;.500;0;0;;0;2;.000;0;4;4;0;2;2;3;3;4;1.6;-5;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
12;13;12;2008-11-22;22-172;ATL;@;CLE;L (-14);1;37:09;5;10;.500;0;0;;2;2;1.000;3;6;9;2;0;1;0;5;12;11.0;-19;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
13;14;13;2008-11-26;22-176;ATL;;MIL;W (+6);1;31:40;9;12;.750;0;0;;3;5;.600;1;8;9;2;2;3;3;4;21;19.4;+12;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
14;15;14;2008-11-28;22-178;ATL;@;TOR;L (-5);1;36:59;3;8;.375;0;0;;4;4;1.000;2;6;8;5;0;1;3;3;10;8.8;-11;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
15;16;15;2008-11-29;22-179;ATL;@;WAS;W (+4);1;37:06;7;10;.700;0;0;;5;6;.833;1;12;13;6;2;1;2;3;19;22.4;+15;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
16;17;16;2008-12-03;22-183;ATL;;MEM;W (+10);1;37:05;7;9;.778;0;0;;1;2;.500;2;3;5;4;0;2;2;4;15;14.0;+14;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
17;18;17;2008-12-05;22-185;ATL;;NYK;W (+3);1;29:23;5;7;.714;0;0;;4;5;.800;3;6;9;1;1;0;0;0;14;16.3;-15;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
18;19;;2008-12-06;22-186;ATL;@;DAL;L (-2);Did Not Play;;;;;;;;;;;;;;;;;;;;;;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
19;20;18;2008-12-09;22-189;ATL;@;HOU;L (-8);1;31:25;7;10;.700;0;0;;0;0;;3;5;8;2;2;0;0;4;14;15.2;-16;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
20;Rk;G;Date;Age;Tm;;Opp;;GS;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;+/-;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
21;21;19;2008-12-10;22-190;ATL;@;SAS;L (-6);1;36:32;3;8;.375;0;0;;2;3;.667;2;5;7;0;0;4;3;4;8;4.3;+6;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
22;22;20;2008-12-12;22-192;ATL;@;MIA;W (+14);1;31:31;3;6;.500;0;0;;2;3;.667;4;6;10;2;1;1;1;1;8;10.9;+2;https://www.basketball-reference.com/players/a/horfoal01/gamelog/2009;horfoal;2009
